age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-14923;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14922;-5.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14921;-4.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14920;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14919;-5.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14918;-2.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14917;-3.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14916;-2.3409604549407996;0;0;0;0;0;0;0;0;0;0;0;0;0
-14915;-3.1409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14914;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14913;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14912;-5.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14911;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14910;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14909;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14908;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14907;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14906;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14905;-5.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14904;-5.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14903;-4.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14902;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14901;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14900;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14899;-5.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14898;-6.740960454940799;0;0;0;0;0;0;0;0;0;0;0;0;0
-14897;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14896;-5.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14895;-3.8409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14894;-5.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14893;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14892;-4.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14891;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14890;-5.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14889;-5.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14888;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14887;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14886;-5.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14885;-3.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14884;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14883;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14882;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14881;-5.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14880;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14879;-2.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14878;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14877;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14876;-3.3409604549407996;0;0;0;0;0;0;0;0;0;0;0;0;0
-14875;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14874;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14873;-5.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14872;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14871;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14870;-3.8409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14869;-5.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14868;-5.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14867;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14866;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14865;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14864;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14863;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14862;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14861;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14860;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14859;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14858;-3.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14857;-5.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14856;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14855;-3.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14854;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14853;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14852;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14851;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14850;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14849;-5.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14848;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14847;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14846;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14845;-5.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14844;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14843;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14842;-5.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14841;-5.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14840;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14839;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14838;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14837;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14836;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14835;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14834;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14833;-2.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14832;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14831;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14830;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14829;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14828;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14827;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14826;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14825;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14824;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14823;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14822;-5.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14821;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14820;-5.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14819;-4.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14818;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14817;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14816;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14815;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14814;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14813;-5.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14812;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14811;-4.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14810;-4.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14809;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14808;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14807;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14806;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14805;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14804;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14803;-5.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14802;-4.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14801;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14800;-5.9409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14799;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14798;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14797;-5.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14796;-5.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14795;-5.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14794;-5.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
